20666.2 -17.0885 35.9911  0.248055 0.287989
16720.7 -13.128 9.72585  0.323696 0.291533
23885.8 32.3787 -22.01  0.199628 0.285999
18105 24.9153 -17.1639  0.294837 0.288659
17915.2 -38.9997 -36.0135  0.298636 0.290958
20590.4 5.71668 -28.0353  0.249325 0.28623
21062 23.5147 -3.62332  0.241518 0.282664
17980.3 20.3746 -36.2557  0.297327 0.283581
14924 26.4385 -52.1563  0.365404 0.289508
19891.6 -27.1008 -26.9899  0.26136 0.286523
17367.2 13.0183 -46.5502  0.309882 0.287322
17687.5 -11.0239 -6.85974  0.303258 0.290386
18560.1 12.8167 -41.9352  0.285922 0.288815
19966.9 38.9615 -34.1059  0.260036 0.288472
22885 37.3148 0.912751  0.213571 0.283844
15540.1 34.7096 -12.9848  0.350529 0.292024
17896.3 -39.774 8.5805  0.299017 0.288238
19720.7 -18.5647 -33.1056  0.264391 0.29172
15865.3 5.34673 -23.8361  0.342924 0.294897
16328.3 20.131 -32.4471  0.332379 0.295019
16613.3 -36.5458 -25.9733  0.326049 0.297611
16852.9 24.8943 -39.0717  0.320822 0.301749
17767.2 27.8772 -26.1763  0.301631 0.304279
19224.4 31.2603 -37.1218  0.273392 0.300664
20383.4 0.130775 -14.0618  0.252832 0.302634
19499.4 10.4599 27.3454  0.268367 0.302648
18602.8 -13.6574 31.4344  0.2851 0.302457
16585.4 8.90151 16.7709  0.326662 0.303748
18890.4 -35.1621 -1.10254  0.279622 0.301408
20428.8 -47.7929 -13.9577  0.252059 0.303103
21729.6 6.83034 -58.1133  0.230882 0.295908
20535.2 -2.07184 -87.3636  0.250255 0.291493
17405.5 42.0012 -82.1788  0.309082 0.292726
21465.2 45.1357 -70.0213  0.235037 0.285225
17447.8 46.42 -59.88  0.308202 0.283957
16746.5 0.950088 -42.6363  0.323133 0.28296
20457.2 -20.1163 -23.7067  0.251576 0.278844
18815.5 -45.2477 -14.0274  0.281038 0.278454
19939.2 -22.3685 5.43816  0.260523 0.277434
18457.7 -29.3922 17.0466  0.287905 0.279535
22266.7 -40.4731 2.61089  0.222668 0.277203
19746.1 -8.19576 0.0394892  0.263939 0.278291
22783.5 -5.26259 23.6105  0.215038 0.272853
24947.4 24.6392 1.46473  0.185833 0.268097
21350.1 26.5055 5.97852  0.23687 0.266304
17957.1 38.8026 8.2025  0.297793 0.267115
19408.8 5.16465 -25.4945  0.270013 0.265574
18630.2 44.5925 -27.641  0.284574 0.261344
18097.3 -34.505 -9.23257  0.294989 0.263315
23796.1 -3.343 24.4229  0.20084 0.257914
19585 -12.8061 -7.66224  0.266822 0.256218
18765.9 -3.14902 -18.2346  0.281981 0.258605
20911.2 -11.3944 -20.4579  0.243988 0.257334
23190.4 0.647957 -31.9969  0.209216 0.256836
23041.1 13.2432 -32.9257  0.211333 0.254062
19278.8 23.6014 -3.43608  0.272391 0.257839
25148.8 -22.3192 -12.4241  0.183325 0.2521
19468.3 -5.38942 -3.6125  0.26893 0.253476
18528.2 19.6692 -5.4568  0.286538 0.255822
21728.4 -16.0508 -12.4185  0.230902 0.253911
20566.5 -5.40264 23.949  0.249727 0.250971
26068.7 3.28825 -1.84011  0.172294 0.245775
19707.7 9.15596 47.7012  0.264623 0.246599
20034.5 2.05335 3.09861  0.258853 0.243013
21006.4 19.1177 20.2661  0.242426 0.245106
22515.7 33.3189 54.813  0.218958 0.243535
22062.6 -3.13865 63.7049  0.225754 0.241427
21389.5 3.26978 43.5064  0.236241 0.240789
16155.5 5.48899 -10.4914  0.336277 0.246596
22077.3 9.99913 11.6692  0.22553 0.246315
19727.1 46.938 -16.1302  0.264276 0.245644
26244.6 81.1689 11.0819  0.170262 0.245535
20897.1 63.0047 -24.2378  0.24422 0.247055
19126.6 27.1177 1.33783  0.275202 0.246611
20468.4 -7.79452 -14.6247  0.251386 0.247702
17096.9 22.5357 -13.4346  0.315585 0.250003
19350.8 -3.44997 34.2764  0.271072 0.254672
26140.2 15.1051 41.5884  0.171464 0.250672
15072.4 -4.85876 -13.153  0.361764 0.258242
13332.7 -10.1227 -1.68839  0.406813 0.265207
21910.9 -4.65732 2.2252  0.228076 0.264513
18037.1 4.95341 42.5673  0.29619 0.270966
18917.6 43.3767 47.4005  0.27911 0.276994
20356.3 74.3765 -3.47598  0.253294 0.274994
20296.4 66.2894 13.4286  0.25432 0.279417
16351.5 58.4525 75.123  0.331859 0.28298
22823.3 73.3092 56.3403  0.214462 0.284242
19698.7 14.5886 26.0794  0.264783 0.286339
20800 8.68408 48.7649  0.245825 0.283572
16448.7 25.1794 29.2807  0.32969 0.287495
18317.5 13.1362 10.5788  0.290641 0.283756
21363.8 -3.83613 -1.19816  0.236652 0.27821
20648.5 35.3413 5.70527  0.248351 0.28286
18723.6 -11.0625 5.08828  0.282785 0.280908
18138.7 5.6011 -9.57739  0.294166 0.273879
